time_s,motor_command,active_power_w,current_ma,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,weightonbit,drillz1position_m,ROP_ms,s_active_power_w,s_current_ma,s_tacho_rpm,s_imu_x_g,s_imu_y_g,s_imu_z_g,s_weightonbit,s_ROP_ms,air,mud,concrete,wet_mud,y_air,y_mud,y_concrete,y_wet_mud
354,1000,457.77429,706.45959,0,.22830001,.2617,.9425,27.906,-.00103,2875.0015,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.90019447,.30614176,1,0,0,0,.9983963440005509,.0012028406214642,.000491666380497,1.29435775290e-06
355,1000,457.77429,706.45959,0,.22830001,.2617,.9425,27.906,-.0010575,1374.9988,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.90019447,-.62909353,1,0,0,0,.9983828399428184,.0012114270849429,.0004922217850292,1.30003336034e-06
356,1000,457.77429,706.45959,0,.22830001,.2617,.9425,27.906,-.0010925001,1750.0017,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.90019447,-.39528331,1,0,0,0,.9983870597013204,.0012085727492205,.0004919374582882,1.29825927541e-06
357,1000,457.77429,706.45959,0,.22830001,.2617,.9425,15.24,-.001115,1124.9968,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.89069468,-.78496706,1,0,0,0,.9983709521505396,.0012190232320831,.0004926027797873,1.30507337011e-06
358,1000,457.77429,706.45959,0,.2361,.26730001,.93910003,15.24,-.001165,2500.0015,-1.2860533,.88213593,-1.0933483,.9205054,.083332404,.2685563,.89069468,.072333343,1,0,0,0,.9983886992681891,.0012091583918872,.0004932221658122,1.29750319122e-06
359,1000,457.77429,706.45959,0,.2361,.26730001,.93910003,15.24,-.0012425,3875.0005,-1.2860533,.88213593,-1.0933483,.9205054,.083332404,.2685563,.89069468,.92963022,1,0,0,0,.9983996976831888,.0012022726256171,.0004927573905322,1.29289750066e-06
360,1000,457.77429,706.45959,0,.2361,.26730001,.93910003,37.567,-.00128,1874.9967,-1.2860533,.88213593,-1.0933483,.9205054,.083332404,.2685563,.90744042,-.3173503,1,0,0,0,.9983913791825789,.0012076397197683,.0004932939749161,1.29629187711e-06
361,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,37.567,-.001315,1750.0017,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.90744042,-.39528331,1,0,0,0,.9982635125935417,.0012792787268348,.0004883230778877,1.34956211553e-06
362,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,37.567,-.0014225,5375,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.90744042,1.8648635,1,0,0,0,.9983601475041534,.0012261801737743,.0004914082082977,1.31195054062e-06
363,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,7.837,-.0014875,3250.0015,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.88514227,.53995013,1,0,0,0,.9981831545283232,.0013313944733403,.0004933591008304,1.38411962429e-06
364,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,7.837,-.00157,4124.9966,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.88514227,1.0855001,1,0,0,0,.9982097713641597,.0013205514156897,.000497456470802,1.37462094051e-06
365,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,-.654,-.00161,2000.0037,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.87877387,-.23940983,1,0,0,0,.9979875221832507,.0014580366434695,.0004925999993776,1.45418033081e-06
366,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,-.654,-.00171,4999.9971,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.87877387,1.6310533,1,0,0,0,.99805803702727,.0014407598080057,.0005187012441484,1.43894590258e-06
367,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,-34.454,-.00178,3500.0034,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.85342318,.69582367,1,0,0,0,.9955710019068565,.0032302521824401,.0006899611377599,2.22025632286e-06
368,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,-34.454,-.0018475,3374.9968,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.85342318,.61788338,1,0,0,0,.9957329813139355,.0031019333337404,.0006708741850597,2.17267746350e-06
369,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,-34.454,-.0018875001,2000.0037,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.85342318,-.23940983,1,0,0,0,.9964040967812307,.0025886238290326,.0005498266105856,1.92955835016e-06
