time_s,cpu_t_degC,motor_command,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,WeightOnBit,DrillZ1Position_m,
1615154165.9716349,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.88888888887595,1.25e-05,
1615154166.0092108,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.88888888887595,1.25e-05,
1615154166.0366635,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287.111111111124,1.25e-05,
1615154166.0585866,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287.111111111124,1.25e-05,
1615154166.086048,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287.111111111124,1.25e-05,
1615154166.1485338,26.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.11111111112405,1.25e-05,
1615154166.1830642,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.11111111112405,1.25e-05,
1615154166.2053483,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3503.111111111124,1.25e-05,
1615154166.2569094,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3503.111111111124,1.25e-05,
1615154166.2813003,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3503.111111111124,1.25e-05,
1615154166.3193417,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.111111111124,1.25e-05,
1615154166.3555665,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.111111111124,1.25e-05,
1615154166.3779407,29.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.111111111124,1.25e-05,
1615154166.4293997,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.111111111124,1.25e-05,
1615154166.4541013,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.111111111124,1.25e-05,
1615154166.478491,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.111111111124,1.25e-05,
1615154166.5163813,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.111111111124,1.25e-05,
1615154166.5382633,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.111111111124,1.25e-05,
1615154166.5626895,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.111111111124,1.25e-05,
1615154166.6096578,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.111111111124,1.25e-05,
1615154166.6421754,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.111111111124,1.25e-05,
1615154166.666322,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.111111111124,1.25e-05,
1615154166.698799,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.111111111124,1.25e-05,
