time_s,cpu_t_degC,motor_command,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,WeightOnBit,DrillZ1Position_m,Formation,ROP,formation_change
1615155453.05,28.88945,1.0,539.1698608,4985.711914,9113.5,0.0,0.23377499999999998,0.26550500000000005,0.9414549999999997,-478481.6,-0.054627625,2.0,-0.0032666671858894384,0.0
1615155454.0,29.157300000000003,1.0,535.7210601850002,4968.656714149998,9168.8,0.0,0.23521500000000012,0.26520499999999986,0.9424349999999999,-501515.4,-0.05564187500000002,2.0,-0.0010676315253593514,0.0
1615155454.35,29.13295,1.0,534.0177673599999,4957.4815433999975,9230.25,0.0,0.23505000000000012,0.2654500000000001,0.941775,-485596.3,-0.056618875,2.0,-0.00279142933203264,0.0
1615155455.0,28.840750000000003,1.0,534.3765258999999,4952.834472999999,9288.9,0.0,0.23307000000000005,0.26561,0.9398500000000002,-483380.1,-0.05764699999999999,2.0,-0.0015817305371606338,0.0
1615155455.75,29.011200000000002,1.0,529.76280518,4932.206347400001,9351.0,0.0,0.2355,0.26569999999999994,0.9421000000000002,-540732.25,-0.05863825000000002,2.0,-0.0013216666666667025,0.0
1615155456.2,29.206,1.0,530.9007202199998,4910.2812498,9432.8,0.0,0.23608000000000007,0.26536000000000004,0.9425600000000001,-505046.95,-0.059719,2.0,-0.0024016664121769018,0.0
1615155457.0,29.3034,1.0,531.4097290000002,4905.471313499999,9505.0,0.0,0.23452500000000004,0.2664499999999999,0.9421249999999999,-514366.1,-0.060796249999999996,2.0,-0.001346562580261378,0.0
1615155457.6,29.230349999999998,1.0,528.3540649,4924.577636999999,9559.45,0.0,0.23601500000000003,0.26548,0.9424100000000001,-487709.25,-0.061832750000000006,2.0,-0.00172750027457879,0.0
1615155458.1,29.279049999999994,1.0,533.3071411000002,4908.487939199998,9625.0,0.0,0.2344,0.267,0.9406999999999999,-513335.4,-0.06296549999999998,2.0,-0.002265499999999948,0.0
1615155459.0,29.108599999999996,1.0,535.1725921499999,4901.680908500002,9694.0,0.0,0.23240000000000008,0.26339999999999997,0.9445,-486036.9,-0.06399399999999998,2.0,-0.0011427776566847018,0.0
1615155459.45,29.27905,1.0,535.45338135,4899.557959399999,9745.0,0.0,0.23472500000000002,0.26610000000000006,0.9411999999999999,-491027.45,-0.06502075,2.0,-0.0022816664248926383,0.0
